	index	Text	Prediction
560	560	I love this phone!.	1
561	561	Not as good as I had hoped.	1
562	562	My father has the V265, and the battery is dying.	1
563	563	Good show, Samsung.	1
564	564	The noise shield is incrediable.	1
565	565	I did not have any problem with this item and would order it again if needed.	0
566	566	As many people complained, I found this headset's microphone was very weak.	1
567	567	I does not maintain a connection with the computer while it is on my lap.	0
568	568	very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.	1
569	569	Couldn't use the unit with sunglasses, not good in Texas!	1
570	570	My Sanyo has survived dozens of drops on blacktop without ill effect.	1
571	571	It's very attractive and appears to be of good quality.	1
572	572	It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.	1
573	573	Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.	1
574	574	Plug was the wrong size.	1
575	575	I ordered this product first and was unhappy with it immediately.	1
576	576	I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.	1
577	577	This device is great in several situations:1.)	1
578	578	Pretty piece of junk.	1
579	579	"It felt too light and ""tinny.""."	1
580	580	Please dont waste your money.	1
581	581	There was so much hype over this phone that I assumed it was the best, my mistake.	1
582	582	All in all, I'm quite satisfied with this purchase.	1
583	583	The real killer is the volume, and of course it breaking.	1
584	584	I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!	1
585	585	If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	1
586	586	I am very impressed with this headset from Plantronics.	1
587	587	It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.	1
588	588	Waste of 13 bucks.	1
589	589	While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.	1
590	590	This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.	1
591	591	Excellent!.	1
592	592	It has been a winner for us.	1
593	593	My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!	0
594	594	The earpiece on this is too large or too heavy...it keeps falling out of my ear.	1
595	595	Don't waste your $$$ on this one.	1
596	596	He was very impressed when going from the original battery to the extended battery.	1
597	597	It is simple to use and I like it.	1
598	598	The instructions didn't explain that a microphone jack could be used.	1
599	599	It works great with a car charger, especially if you cannot plug in two adapters at the same time.	0
600	600	Was not happy.	1
601	601	Excellent product, I am very satisfied with the purchase.	1
602	602	Battery life still not long enough in Motorola Razor V3i.	1
603	603	This is infuriating.	1
604	604	Phone falls out easily.	1
605	605	The majority of the Logitech earbud headsets failed.	1
606	606	:-)Oh, the charger seems to work fine.	0
607	607	The worst phone I've ever had.... Only had it for a few months.	1
608	608	Their network coverage in Los Angeles is horrible.	0
609	609	Also makes it easier to hold on to.	1
610	610	So anyone near you will hear part of your conversation.	1
611	611	Good product - incredible value.	1
612	612	Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.	1
613	613	But it does get better reception and clarity than any phone I've had before.	0
614	614	clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.	1
615	615	Defective crap.	1
616	616	But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.	1
617	617	This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it	1
618	618	Dont waste your money...	1
619	619	Great case and price!	1
620	620	AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.	1
621	621	I didn't think that the instructions provided were helpful to me.	1
622	622	The ear buds only play music in one ear.	1
623	623	I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).	1
624	624	The bose noise cancelling is amazing, which is very important for a NYC commuter.	1
625	625	sucked, most of the stuff does not work with my phone.	0
626	626	It makes very strange ticking noises before it ends the call.	1
627	627	The best phone in market :).	1
628	628	Kind of flops around.	1
629	629	Just really good.. So far, probably the best BT headset I have ever had.	0
630	630	Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.	1
631	631	The BT headset was such a disapoinment.	1
632	632	Battery lasts only a few hours.	1
633	633	Great Pocket PC / phone combination.	1
634	634	This is a great product..... sure beats using your fingers!.	1
635	635	The accompanied software is almost brilliant.	1
636	636	Comfortable in my hand.	1
637	637	This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!	0
638	638	This phone is slim and light and the display is beautiful.	1
639	639	The sound is clear and the people I talk to on it are amazed at the quality too.	1
640	640	Do Not Buy for D807...wrongly advertised for D807.	1
641	641	Still Waiting...... I'm sure this item would work well.. if I ever recieve it!	1
642	642	It also had a new problem.	1
643	643	I've missed numerous calls because of this reason.	1
644	644	Comfort for our whole family.	1
645	645	Stay Away From the Q!.	1
646	646	"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7."	1
647	647	Were JERKS on the phone.	1
648	648	It finds my cell phone right away when I enter the car.	0
649	649	I was very impressed with the price of the cases.	1
650	650	And none of the tones is acceptable.	1
651	651	It is well made, easy to access the phone and has a handy, detachable belt clip.	1
652	652	Returned 8 hours later.	1
653	653	Doesn't hold charge.	1
654	654	That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.	0
655	655	Protects the phone on all sides.	1
656	656	In my house I was getting dropped coverage upstairs and no coverage in my basement.	1
657	657	Worth every penny.	1
658	658	I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.	1
659	659	"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?"	1
660	660	Highly recommend for any one who has a blue tooth phone.	1
661	661	I'm pleased.	1
662	662	I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.	1
663	663	Who in their right mind is gonna buy this battery?.	1
664	664	Needless to say, I wasted my money.	1
665	665	This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.	0
666	666	Battery charge-life is quite long.	1
667	667	if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.	1
668	668	Disapointing Results.	1
669	669	We have tried 2 units and they both failed within 2 months.. Pros	1
670	670	The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.	1
671	671	So there is no way for me to plug it in here in the US unless I go by a converter.	1
672	672	Definitely a bargain.	1
673	673	Truly awful.	1
674	674	Arrived quickly and much less expensive than others being sold.	1
675	675	It is very comfortable to wear as well, which is probably the most important aspect about using a case.	1
676	676	camera color balance is AWFUL.	1
677	677	I checked everywhere and there is no feature for it which is really disappointing.	0
678	678	First of all, it doesn't wear well.	1
679	679	It would take too long to describe how bad my customer service experience has been with Amazon.	0
680	680	It is very comfortable on the ear.	1
681	681	I received it quickly and it works great!!	1
682	682	I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.	1
683	683	Cumbersome design.	1
684	684	I would not recommend this item to anyone.	1
685	685	The item received was Counterfeit.	1
686	686	I like the fact that it rests lightly against your ear, rather than inside.	1
687	687	Restored my phone to like new performance.	1
688	688	Don't buy this product.	1
689	689	They keep getting better and better (this is my third one and I've had numerous Palms too).	0
690	690	dont buy it.	1
691	691	Great price also!	1
692	692	"The design is very odd, as the ear ""clip"" is not very comfortable at all."	1
693	693	Works like a charm.. Works as advertised.	1
694	694	You never know if you pushed it hard enough or the right number of times for the function you want or not.	1
695	695	Very good phone.	1
696	696	So far it has worked like a charm.	1
697	697	It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.	0
698	698	Buyer Beware, you could flush money right down the toilet.	0
699	699	The mic there is a joke, and the volume is quite low.	1
700	700	Great phone!.	1
701	701	This is a simple little phone to use, but the breakage is unacceptible.	1
702	702	I am glad I purchased it.	1
703	703	The mic is great.	1
704	704	Buttons are too small.	1
705	705	The internet access was fine, it the rare instance that it worked.	1
706	706	I'm using it with an iriver SPINN (with case) and it fits fine.	1
707	707	That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).	1
708	708	The cable looks so thin and flimsy, it is scary.	1
709	709	none of the new ones have ever quite worked properly.	1
710	710	Fits comfortably, came with three sizes of earbud tips.	1
711	711	I was very excited to get this headset because I thought it was really cute.	0
712	712	Those phones are working just fine now.	0
713	713	Bad Choice.	0
714	714	If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.	0
715	715	Then I had to continue pairing it periodically since it somehow kept dropping.	1
716	716	I was able to do voice dialing in the car with no problem.	1
717	717	Works fine.	1
718	718	Good case, Excellent value.	1
719	719	The charger arrived within the promised timeframe, but it did not work.	0
720	720	I would recommend it.	1
721	721	Clear Skype Calls, Long Battery Life, Long Range.	1
722	722	Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.	0
723	723	Excellent product for the price.	1
724	724	Great Phone.	1
725	725	I bought this to use with my Kindle Fire and absolutely loved it!	1
726	726	Setup went very smoothly.	0
727	727	The phone loads super!	1
728	728	This is a great deal.	1
729	729	Linksys should have some way to exchange a bad phone for a refurb unit or something!	0
730	730	Nice Sound.	1
731	731	stay away from this store, be careful.	1
732	732	I've had this for nearly 2 years and it has worked great for me.	1
733	733	SWEETEST PHONE!!!	1
734	734	Sprint - terrible customer service.	0
735	735	This is simply the BEST bluetooth headset for sound quality!	1
736	736	If you like a loud buzzing to override all your conversations, then this phone is for you!	1
737	737	I am also very happy with the price.	1
738	738	Clear crisp sound.	1
739	739	Made very sturdy.	1
740	740	For the price on Amazon, it is an excellent product, which I would highly recommend.	1
741	741	I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.	1
742	742	Excellent dual-purpose headset.	1
743	743	I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.	0
744	744	You can't beat the price on these.	1
745	745	Used and dirty.	1
746	746	Iam very pleased with my purchase.	1
747	747	Excellent product for the price.	1
748	748	A pretty good product.	1
749	749	Not worth it.	1
750	750	I have to use the smallest earpieces provided, but it stays on pretty well.	1
751	751	Leopard Print is wonderfully wild!.	1
752	752	I was looking for this headset for a long time and now that I've got it I couldn't be happier.	0
753	753	This is by far the worst purchase I've made on Amazon.	1
754	754	No additional ear gels provided, and no instructions whatsoever.	1
755	755	It has all the features I want	1
756	756	Plan on ordering from them again and again.	1
757	757	This pair of headphones is the worst that I have ever had sound-wise.	1
758	758	It's A PIECE OF CRAP!	1
759	759	As I said above....PRETTY USELESS!	1
760	760	Because both ears are occupied, background is not distracting at all.	1
761	761	Poor Talk Time Performance.	0
762	762	It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.	1
763	763	I would highly recommend this.	1
764	764	It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.	1
765	765	the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.	1
766	766	I have had problems wit hit dropping signal and more.	1
767	767	Don't buy this product.	1
768	768	THey are so cool!	0
769	769	The sound quality is good and functionality is awesome.	1
770	770	I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.	1
771	771	I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.	1
772	772	Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.	1
773	773	The voice recognition thru the handset is excellent.	1
774	774	Do NOT buy if you want to use the holster.	1
775	775	Piece of trash.	1
776	776	This is hands down the best phone I've ever had.	1
777	777	The cutouts and buttons are placed perfectly.	1
778	778	The phone gets EXTREMELY HOT!	1
779	779	Krussel Always good.	1
780	780	The plug did not work very well.	0
781	781	So I had to take the battery out of the phone put it all back together and then restart it.	1
782	782	They refuse to refund or replace.	1
783	783	The battery life is highly unacceptable.	1
784	784	No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.	1
785	785	The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.	0
786	786	This product is very High quality Chinese CRAP!!!!!!	1
787	787	I love the ringtones because they are so upbeat!	1
788	788	Great choice!	1
789	789	Thank you for wasting my money.	1
790	790	Just reading on the specs alone makes you say WOW.	0
791	791	Great Product.	1
792	792	This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.	0
793	793	"A must study for anyone interested in the ""worst sins"" of industrial design."	1
794	794	I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.	1
795	795	Last time buying from you.	0
796	796	Internet is excrutiatingly slow.	1
797	797	Lousy product.	1
798	798	I'll be drivng along, and my headset starts ringing for no reason.	1
799	799	I advise EVERYONE DO NOT BE FOOLED!	1
800	800	We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement	1
801	801	nice leather.	1
802	802	I'm trying to return it for a refund.	1
803	803	"jabra ear gels ""R"" the best!."	1
804	804	It seems completely secure, both holding on to my belt, and keeping the iPhone inside.	1
805	805	Voice recognition is tremendous!	1
806	806	I cannot make calls at certain places.	1
807	807	This results in the phone being either stuck at max volume or mute.	1
808	808	It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).	1
809	809	Very wind-resistant.	1
810	810	very good product, well made.	1
811	811	The case is a flimsy piece of plastic and has no front or side protection whatsoever.	1
812	812	Rip off---- Over charge shipping.	1
813	813	Big Disappointment with calendar sync.	0
814	814	But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.	1
815	815	Does Not Work.	0
816	816	I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.	0
817	817	I wear it everyday and it holds up very well.	1
818	818	Don't make the same mistake that I did and please don't buy this phone.	0
819	819	Don't buy this product - It fails!.	1
820	820	"You get extra minutes so that you can carry out the call and not get cut off."""	1
821	821	Battery has no life.	1
822	822	I purchased this and within 2 days it was no longer working!!!!!!!!!	1
823	823	The company shipped my product very promptly and it works well.	1
824	824	Magical Help.	1
825	825	)Setup couldn't have been simpler.	1
826	826	It fits my ear well and is comfortable on.	1
827	827	All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.	1
828	828	Save your money.... I've had this item for 11 months now.	1
829	829	Worst Customer Service Ever.	1
830	830	The battery is completely useless to me.	1
831	831	Mic Doesn't work.	1
832	832	Design Flaw?.	1
833	833	Very unreliable service from T-mobile !	1
834	834	My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)	1
835	835	don't waste your money and time.	0
836	836	The phone crashed completely and now I have to get it replaced.	1
837	837	Linked to my phone without effort.	1
838	838	Its not user friendly.	1
839	839	Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.	1
840	840	You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	0
841	841	Absolutely great.	1
842	842	After a year the battery went completely dead on my headset.	0
843	843	I highly recommend this modest priced cellular phone.	1
844	844	I highly recommend these and encourage people to give them a try.	1
845	845	Adapter does not provide enough charging current.	0
846	846	Good value, works fine - power via USB, car, or wall outlet.	1
847	847	I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.	0
848	848	The file browser offers all the options that one needs.Handsfree is great.	1
849	849	Simple, lightweight and great fit.	1
850	850	It clicks into place in a way that makes you wonder how long that mechanism would last.	1
851	851	Love This Phone.	1
852	852	Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.	1
853	853	During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.	1
854	854	Battery life is real good.	1
855	855	Nice headphones for the price and they work great!	1
856	856	I found the product to be easy to set up and use.	1
857	857	Its a total package.	1
858	858	The price was very good and with the free shipping and all it was a good purchase.	1
859	859	Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).	1
860	860	And I just love the colors!	1
861	861	its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.	1
862	862	It dit not work most of the time with my Nokia 5320.	0
863	863	My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.	0
864	864	Att is not clear, sound is very distorted and you have to yell when you talk.	1
865	865	I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.	1
866	866	I have used several phone in two years, but this one is the best.	1
867	867	I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.	1
868	868	My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.	1
869	869	It was a great phone.	1
870	870	The construction of the headsets is poor.	1
871	871	It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.	1
872	872	Exactly what I wanted.	1
873	873	I am pairing this with my iphone, and I could not be happier with it so far.	1
874	874	Very Dissapointing Performance.	1
875	875	Worked great!.	1
876	876	Easy to pair with my Samsung Cell.	1
877	877	It only recognizes the Phone as its storage device.	1
878	878	Item Does Not Match Picture.	0
879	879	Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.	1
880	880	I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).	1
881	881	Beautiful styling though.	1
882	882	I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.	1
883	883	I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.	1
884	884	Love it.. Great armband.	1
885	885	I love this bluetooth!	1
886	886	great...no problems at all!.	1
887	887	Good product, good seller.	1
888	888	Reception is terrible and full of static.	0
889	889	Awkward to use and unreliable.	1
890	890	great headset, very impressed - H500.	1
891	891	I am sorry I made this purchase.	1
892	892	Utter crap.. Sound quality is TERRIBLE.	0
893	893	However-the riingtones are not the best, and neither are the games.	1
894	894	Unfortunately it did not work.	0
895	895	Logitech Bluetooth Headset is a 10!.	1
896	896	This allows the possibility of double booking for the same date and time after the first.	0
897	897	It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.	0
898	898	The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.	1
899	899	Lasted one day and then blew up.	1
900	900	My sister has one also and she loves it.	1
901	901	Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.	1
902	902	Excellent wallet type phone case.	1
903	903	WARNING - DO NOT BUY!!.	1
904	904	I had ordered a motorola data cable, got a very well finished and working product.	1
905	905	Great charger.	1
906	906	This case has passed the one year mark and while it shows signs of wear, it is 100% functional.	1
907	907	It is the best charger I have seen on the market yet.	0
908	908	None of the three sizes they sent with the headset would stay in my ears.	1
909	909	I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.	1
910	910	It doesn't work in Europe or Asia.	1
911	911	Nice quality build, unlike some cheap s*** out there.	1
912	912	fast service.	1
913	913	Works as described.	1
914	914	This company charge me a restocking fee and still not given me my refund back.	1
915	915	It doesn't make you look cool.	0
916	916	Can't store anything but phone numbers to SIM.	1
917	917	What a waste.	1
918	918	The Jabra EarGels fit my ears very well.	1
919	919	$50 Down the drain.	1
920	920	Does not charge the Cingular (ATT) 8525 phone.	0
921	921	Poorly contstruct hinge.	1
922	922	"I can barely ever hear on it and am constantly saying ""what?"""	1
923	923	If you plan to use this in a car forget about it.	1
924	924	Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.	1
925	925	If there is a wind, it is completely useless.	1
926	926	I am very impressed with the job that Motorola did on the sturdiness of this phone.	0
927	927	I got it because it was so small and adorable.	1
928	928	Avoid this one if you can.	1
929	929	Reversible plug works great.	1
930	930	you can even take self portraits with the outside (exterior) display, very cool.	0
931	931	I have been very satisfied with this cell phone from day one.	1
